"","date","group","antipsychotic_any_incident","antipsychotics_first_gen_incident","antipsychotics_second_gen_incident","antipsychotics_injectable_and_depot_incident","prochlorperazine_incident","alive_2weeks_post_new_antipsychotic","new_antipsychotic_without_midazolam","population"
"51",2020-03-01,"dementia",1290,730,380,NA,185,1290,605,231255
"52",2020-04-01,"dementia",2225,1570,405,NA,275,2225,735,232430
"53",2020-05-01,"dementia",1385,760,375,NA,275,1385,680,226345
"54",2020-06-01,"dementia",1135,540,400,NA,210,1135,650,219925
"55",2020-07-01,"dementia",1055,525,340,10,200,1055,600,217215
"56",2020-08-01,"dementia",925,435,300,NA,195,925,525,217535
"57",2020-09-01,"dementia",1000,495,315,NA,200,1000,565,218505
"58",2020-10-01,"dementia",1145,595,355,NA,195,1145,625,221255
"59",2020-11-01,"dementia",1175,605,385,NA,185,1175,600,223505
"60",2020-12-01,"dementia",1280,685,375,NA,230,1280,655,225465
"61",2021-01-01,"dementia",1615,1015,360,NA,250,1615,670,226350
"62",2021-02-01,"dementia",1135,600,325,NA,220,1135,590,225540
"63",2021-03-01,"dementia",1120,545,350,NA,235,1120,610,224160
"64",2021-04-01,"dementia",960,435,330,NA,200,960,570,225145
"65",2021-05-01,"dementia",950,470,315,NA,170,950,530,227015
"66",2021-06-01,"dementia",1045,505,330,NA,215,1045,585,229675
"67",2021-07-01,"dementia",1070,490,365,NA,225,1070,620,232045
"68",2021-08-01,"dementia",1035,495,345,NA,205,1035,580,234355
"69",2021-09-01,"dementia",1055,510,325,NA,225,1055,605,235780
"70",2021-10-01,"dementia",1130,555,355,NA,220,1130,615,237615
"71",2021-11-01,"dementia",1245,610,415,NA,230,1245,695,239495
"72",2021-12-01,"dementia",1340,695,425,NA,235,1340,710,240445
"73",2019-01-01,"care_home",620,360,125,15,125,620,295,125400
"74",2019-02-01,"care_home",650,395,140,10,110,650,295,125590
"75",2019-03-01,"care_home",615,365,115,15,130,615,280,125640
"76",2019-04-01,"care_home",680,405,145,10,130,680,320,126395
"77",2019-05-01,"care_home",635,375,135,10,120,635,305,126980
"78",2019-06-01,"care_home",605,335,130,15,135,605,320,127330
"79",2019-07-01,"care_home",670,375,145,20,135,670,320,127830
"80",2019-08-01,"care_home",660,375,150,15,130,660,315,128920
"81",2019-09-01,"care_home",635,365,145,15,120,635,295,130185
"82",2019-10-01,"care_home",715,415,160,10,135,715,330,131860
"83",2019-11-01,"care_home",765,470,145,15,140,765,340,133490
"84",2019-12-01,"care_home",700,440,150,10,110,700,305,134235
"85",2020-01-01,"care_home",745,460,135,10,150,745,335,135070
"86",2020-02-01,"care_home",725,420,155,20,140,725,325,134660
"87",2020-03-01,"care_home",900,600,165,20,120,900,325,135580
"88",2020-04-01,"care_home",1645,1305,160,10,185,1645,390,136925
"89",2020-05-01,"care_home",935,605,175,10,175,935,350,134355
"90",2020-06-01,"care_home",685,380,180,20,120,685,340,132305
"91",2020-07-01,"care_home",685,400,160,15,125,685,325,136615
"92",2020-08-01,"care_home",700,400,165,10,130,700,330,141240
"93",2020-09-01,"care_home",795,435,190,20,155,795,390,144925
"94",2020-10-01,"care_home",875,515,205,20,145,875,400,148745
"95",2020-11-01,"care_home",945,560,240,10,145,945,415,152375
"96",2020-12-01,"care_home",995,650,185,25,150,995,395,156405
"97",2021-01-01,"care_home",1400,990,195,10,210,1400,465,163595
"98",2021-02-01,"care_home",945,575,200,15,170,945,415,167275
"99",2021-03-01,"care_home",955,530,235,20,185,955,465,166580
"100",2021-04-01,"care_home",805,430,235,15,135,805,420,167490
"101",2021-05-01,"care_home",815,465,195,20,145,815,390,168545
"102",2021-06-01,"care_home",830,455,225,15,140,830,400,170070
"103",2021-07-01,"care_home",855,475,195,20,175,855,405,172195
"104",2021-08-01,"care_home",835,460,200,20,165,835,400,173805
"105",2021-09-01,"care_home",920,510,220,20,180,920,440,175300
"106",2021-10-01,"care_home",990,570,220,25,185,990,470,178435
"107",2021-11-01,"care_home",1035,570,285,15,170,1035,510,181100
"108",2021-12-01,"care_home",1130,685,230,25,205,1130,490,183605
"109",2019-01-01,"learning_disability",205,25,95,NA,85,205,195,138790
"110",2019-02-01,"learning_disability",180,20,80,10,70,180,175,139995
"111",2019-03-01,"learning_disability",180,15,75,10,80,180,170,141070
"112",2019-04-01,"learning_disability",195,25,80,10,80,195,185,142255
"113",2019-05-01,"learning_disability",185,20,75,10,80,185,175,143075
"114",2019-06-01,"learning_disability",190,20,95,10,65,190,190,143910
"115",2019-07-01,"learning_disability",220,30,85,15,95,220,210,144735
"116",2019-08-01,"learning_disability",175,20,85,NA,70,175,175,145750
"117",2019-09-01,"learning_disability",175,15,70,10,80,175,175,146705
"118",2019-10-01,"learning_disability",240,25,120,10,85,240,230,147745
"119",2019-11-01,"learning_disability",190,20,90,15,70,190,180,148835
"120",2019-12-01,"learning_disability",205,15,90,10,95,205,205,149920
"121",2020-01-01,"learning_disability",230,30,95,20,90,230,220,150770
"122",2020-02-01,"learning_disability",155,15,65,15,60,155,155,151840
"123",2020-03-01,"learning_disability",205,35,95,20,60,205,190,152960
"124",2020-04-01,"learning_disability",190,35,85,10,60,190,170,153835
"125",2020-05-01,"learning_disability",160,30,60,NA,65,160,145,153975
"126",2020-06-01,"learning_disability",190,25,85,10,65,190,175,154250
"127",2020-07-01,"learning_disability",185,15,80,10,80,185,175,155000
"128",2020-08-01,"learning_disability",160,20,75,15,55,160,150,156150
"129",2020-09-01,"learning_disability",165,15,75,10,65,165,165,157340
"130",2020-10-01,"learning_disability",180,20,85,10,65,180,180,159030
"131",2020-11-01,"learning_disability",205,20,90,10,85,205,195,160760
"132",2020-12-01,"learning_disability",185,30,90,NA,65,185,175,162745
"133",2021-01-01,"learning_disability",210,35,90,NA,80,210,190,163960
"134",2021-02-01,"learning_disability",185,15,85,10,75,185,180,165450
"135",2021-03-01,"learning_disability",205,20,90,15,85,205,195,167405
"136",2021-04-01,"learning_disability",175,20,75,10,70,175,175,170455
"137",2021-05-01,"learning_disability",185,20,90,10,60,185,175,171660
"138",2021-06-01,"learning_disability",180,20,80,15,70,180,170,172815
"139",2021-07-01,"learning_disability",220,25,90,10,100,220,210,174045
"140",2021-08-01,"learning_disability",220,30,90,15,90,220,210,175225
"141",2021-09-01,"learning_disability",215,25,95,10,90,215,200,176185
"142",2021-10-01,"learning_disability",235,25,115,10,85,235,225,177485
"143",2021-11-01,"learning_disability",245,30,110,15,90,245,235,178610
"144",2021-12-01,"learning_disability",215,25,100,15,80,215,200,179660
"145",2019-01-01,"autism",230,15,140,10,70,230,230,203115
"146",2019-02-01,"autism",225,15,125,NA,80,225,225,206370
"147",2019-03-01,"autism",235,15,140,NA,80,235,235,209380
"148",2019-04-01,"autism",250,15,150,15,70,250,250,212695
"149",2019-05-01,"autism",245,10,145,NA,85,245,245,215690
"150",2019-06-01,"autism",245,15,145,10,75,245,245,218790
"151",2019-07-01,"autism",230,15,140,10,65,230,230,222240
"152",2019-08-01,"autism",220,10,140,NA,70,220,220,225895
"153",2019-09-01,"autism",235,20,125,NA,85,235,235,228980
"154",2019-10-01,"autism",265,15,175,15,65,265,265,233085
"155",2019-11-01,"autism",265,10,150,15,90,265,265,236855
"156",2019-12-01,"autism",265,10,175,NA,80,265,265,240240
"157",2020-01-01,"autism",270,15,155,10,90,270,270,243375
"158",2020-02-01,"autism",255,15,155,15,70,255,255,247190
"159",2020-03-01,"autism",250,20,150,10,70,250,250,250660
"160",2020-04-01,"autism",255,25,160,15,55,255,255,253930
"161",2020-05-01,"autism",235,20,140,NA,65,235,235,255685
"162",2020-06-01,"autism",225,20,140,10,65,225,225,257425
"163",2020-07-01,"autism",260,15,145,10,90,260,260,259625
"164",2020-08-01,"autism",210,15,125,15,55,210,210,262225
"165",2020-09-01,"autism",225,NA,140,10,75,225,225,264590
"166",2020-10-01,"autism",295,20,175,10,90,295,295,268285
"167",2020-11-01,"autism",280,15,170,10,85,280,280,271725
"168",2020-12-01,"autism",265,25,170,NA,65,265,265,275415
"169",2021-01-01,"autism",275,20,165,10,85,275,275,278445
"170",2021-02-01,"autism",295,10,190,10,80,295,295,282085
"171",2021-03-01,"autism",290,20,165,10,100,290,290,285925
"172",2021-04-01,"autism",270,10,160,10,85,270,270,290770
"173",2021-05-01,"autism",290,20,165,15,95,290,290,294820
"174",2021-06-01,"autism",290,15,185,15,80,290,290,299235
"175",2021-07-01,"autism",340,10,195,15,120,340,340,303980
"176",2021-08-01,"autism",310,15,165,10,120,310,310,308355
"177",2021-09-01,"autism",340,20,155,15,150,340,340,312230
"178",2021-10-01,"autism",340,20,190,15,115,340,340,317330
"179",2021-11-01,"autism",360,20,195,15,125,360,360,321510
"180",2021-12-01,"autism",305,15,170,10,105,305,305,325345
"181",2019-01-01,"serious_mental_illness",1365,130,715,290,245,1365,1350,258850
"182",2019-02-01,"serious_mental_illness",1285,115,680,300,195,1285,1270,260705
"183",2019-03-01,"serious_mental_illness",1395,115,745,310,235,1395,1370,262345
"184",2019-04-01,"serious_mental_illness",1315,115,735,240,235,1315,1295,264185
"185",2019-05-01,"serious_mental_illness",1485,125,850,295,230,1485,1460,266005
"186",2019-06-01,"serious_mental_illness",1405,130,775,275,235,1405,1385,267695
"187",2019-07-01,"serious_mental_illness",1440,125,765,310,265,1440,1420,269660
"188",2019-08-01,"serious_mental_illness",1340,110,725,275,240,1340,1320,271880
"189",2019-09-01,"serious_mental_illness",1410,150,745,305,225,1410,1390,273845
"190",2019-10-01,"serious_mental_illness",1610,150,865,350,265,1610,1580,276190
"191",2019-11-01,"serious_mental_illness",1510,140,815,335,240,1510,1485,278570
"192",2019-12-01,"serious_mental_illness",1420,140,780,325,190,1420,1390,280500
"193",2020-01-01,"serious_mental_illness",1535,135,815,360,240,1535,1505,282265
"194",2020-02-01,"serious_mental_illness",1430,120,765,325,245,1430,1405,284245
"195",2020-03-01,"serious_mental_illness",1635,165,940,360,195,1635,1585,285880
"196",2020-04-01,"serious_mental_illness",1500,210,780,300,230,1500,1395,287620
"197",2020-05-01,"serious_mental_illness",1320,145,655,300,235,1320,1270,287785
"198",2020-06-01,"serious_mental_illness",1445,130,730,335,265,1445,1415,288285
"199",2020-07-01,"serious_mental_illness",1525,140,770,395,235,1525,1490,289540
"200",2020-08-01,"serious_mental_illness",1285,120,655,305,215,1285,1250,291275
"201",2020-09-01,"serious_mental_illness",1400,130,735,350,205,1400,1365,293125
"202",2020-10-01,"serious_mental_illness",1470,140,750,365,225,1470,1430,295545
"203",2020-11-01,"serious_mental_illness",1535,130,855,345,225,1535,1485,297810
"204",2020-12-01,"serious_mental_illness",1530,145,750,405,245,1530,1490,299960
"205",2021-01-01,"serious_mental_illness",1430,125,720,340,260,1430,1375,301580
"206",2021-02-01,"serious_mental_illness",1505,145,745,375,255,1505,1465,303395
"207",2021-03-01,"serious_mental_illness",1585,140,805,405,255,1585,1545,305160
"208",2021-04-01,"serious_mental_illness",1500,130,825,355,205,1500,1470,307540
"209",2021-05-01,"serious_mental_illness",1450,125,770,365,200,1450,1420,309405
"210",2021-06-01,"serious_mental_illness",1590,135,835,385,245,1590,1550,311605
"211",2021-07-01,"serious_mental_illness",1610,150,840,380,265,1610,1575,313835
"212",2021-08-01,"serious_mental_illness",1445,130,695,350,285,1445,1410,315885
"213",2021-09-01,"serious_mental_illness",1520,145,810,340,255,1520,1490,317520
"214",2021-10-01,"serious_mental_illness",1675,145,860,405,280,1675,1650,319770
"215",2021-11-01,"serious_mental_illness",1745,150,995,355,260,1745,1710,321730
"216",2021-12-01,"serious_mental_illness",1500,160,760,340,260,1500,1455,323440
