group,variable,quarter,value,population,est,se,rate,lci,uci
Autism,Any antipsychotic,2020 Q1,462,433650,-6.844428145030862,0.046524209975157854,1.0653753026634396,1.0169448871205413,1.1161121412774042
Autism,Any antipsychotic,2020 Q2,413,447430,-6.987827786919408,0.049206782409529866,0.9230494155510358,0.8787285108800719,0.9696057576370046
Autism,Any antipsychotic,2020 Q3,413,457408,-7.009883457618617,0.049206782409529866,0.9029138099902065,0.859559731406252,0.9484545616594493
Autism,Any antipsychotic,2020 Q4,465,471353,-6.921325155913832,0.046373889039994204,0.9865217787942374,0.9418174942867754,1.0333479956988434
Autism,Any antipsychotic,2021 Q1,493,486737,-6.894970041079575,0.04503773444797199,1.0128673184902741,0.9682620683837461,1.0595274134596058
Autism,Any antipsychotic,2021 Q2,473,505453,-6.9741149473778306,0.0459800484735233,0.9357942281478198,0.8937405871681459,0.9798266409825919
Autism,Any antipsychotic,2021 Q3,540,525290,-6.880136630461622,0.04303314792234473,1.0280035789754232,0.9847036959075907,1.0732074661426407
Autism,Any antipsychotic,2021 Q4,543,544667,-6.910820557794957,0.042914107178511664,0.9969394143577635,0.9550616496369194,1.0406534450188019
Care Home,Any antipsychotic,2019 Q1,1278,230343,-5.194273146425662,0.027972711900410768,5.548247613341847,5.395198658055955,5.705638203514364
Care Home,Any antipsychotic,2019 Q2,1308,232130,-5.178798306524349,0.02765006314006701,5.634773618231163,5.481106021399157,5.792749420418792
Care Home,Any antipsychotic,2019 Q3,1285,235653,-5.2116016656862705,0.027896417590351972,5.452932914072808,5.302917791147639,5.607191839748197
Care Home,Any antipsychotic,2019 Q4,1465,242287,-5.108267731417198,0.026126497183227897,6.046548102044273,5.8906187930126706,6.206604982434578
Care Home,Any antipsychotic,2020 Q1,1547,243970,-5.060727695323529,0.02542464178248921,6.340943558634256,6.181759513541121,6.5042266891345
Care Home,Any antipsychotic,2020 Q2,2090,242753,-4.75488039951176,0.02187393195047202,8.609574340996813,8.423293868322634,8.799974391480118
Care Home,Any antipsychotic,2020 Q3,1440,258962,-5.19203821920075,0.026352313802968222,5.5606614097821305,5.416039051496282,5.70914556195781
Care Home,Any antipsychotic,2020 Q4,1783,278887,-5.052509342977305,0.02368232452508782,6.393270392667993,6.243641659795914,6.5464849747801175
Care Home,Any antipsychotic,2021 Q1,2048,296327,-4.9745998671116824,0.022097086898909577,6.911283818214343,6.760239544280793,7.0657028797628385
Care Home,Any antipsychotic,2021 Q2,1575,301750,-5.255343587700044,0.0251976315085562,5.219552609776307,5.089675417034093,5.352743979516555
Care Home,Any antipsychotic,2021 Q3,1678,309795,-5.218308180362709,0.024412037103790366,5.416485094982162,5.285858576724969,5.550339714601569
Care Home,Any antipsychotic,2021 Q4,1957,320943,-5.0998508488551835,0.02260500393066642,6.097655970063218,5.96136466912062,6.237063221755959
Dementia,Any antipsychotic,2019 Q1,2112,416575,-5.284431151580671,0.02175970698226734,5.069915381383909,4.960787113672337,5.181444271928278
Dementia,Any antipsychotic,2019 Q2,2063,419392,-5.314644809327918,0.022016606771703567,4.919025637112767,4.811908884536288,5.028526890093942
Dementia,Any antipsychotic,2019 Q3,2058,426645,-5.334217648294285,0.02204333569585964,4.823682452624544,4.718515771672732,4.931193097508577
Dementia,Any antipsychotic,2019 Q4,2300,433820,-5.239720578590386,0.020851441395853872,5.301738048038355,5.192333750379164,5.413447532713967
Dementia,Any antipsychotic,2020 Q1,2385,436058,-5.20857613768429,0.02047650388546603,5.469455898068603,5.358599413108064,5.582605736069818
Dementia,Any antipsychotic,2020 Q2,3205,424610,-4.886459010197145,0.017663875009389974,7.548102965073826,7.415944866042296,7.682616227669154
Dementia,Any antipsychotic,2020 Q3,2048,410328,-5.300093132691656,0.022097086898909577,4.991129047981128,4.882049247036745,5.102646022819504
Dementia,Any antipsychotic,2020 Q4,2405,415583,-5.152132450114655,0.02039118474834155,5.7870509621423345,5.6702411296988044,5.9062671361581875
Dementia,Any antipsychotic,2021 Q1,2468,412398,-5.11858079642738,0.02012924204745047,5.98451010916639,5.865250783388467,6.106194358841051
Dementia,Any antipsychotic,2021 Q2,1965,413352,-5.34880728488033,0.022558941725141987,4.753817569529121,4.647777053927239,4.862277433309421
Dementia,Any antipsychotic,2021 Q3,2083,421852,-5.3108453793432515,0.021910655210120405,4.937750680333392,4.830737968142249,5.047133986964973
Dementia,Any antipsychotic,2021 Q4,2347,426765,-5.203095593572824,0.020641604615752585,5.49951378393261,5.3871585799657025,5.614212281060664
Learning Disability,Any antipsychotic,2019 Q1,375,263960,-6.556626829526946,0.05163977703171805,1.4206697984543124,1.3491687639774665,1.49596012754556
Learning Disability,Any antipsychotic,2019 Q2,368,268275,-6.591684914626397,0.05212860255229515,1.371726772900942,1.302052364911222,1.4451295433279507
Learning Disability,Any antipsychotic,2019 Q3,382,271968,-6.568019082691778,0.05116445013341108,1.4045770090598884,1.3345200927762786,1.478311630569321
Learning Disability,Any antipsychotic,2019 Q4,407,276172,-6.519965953561231,0.049568158961815746,1.4737192763929734,1.4024506441507067,1.548609581856232
Learning Disability,Any antipsychotic,2020 Q1,373,280298,-6.622030182271335,0.051778036377786066,1.3307265838500457,1.263577597059893,1.4014439992332948
Learning Disability,Any antipsychotic,2020 Q2,352,283133,-6.690040855292782,0.05330017801387686,1.2432319793171422,1.178702486381978,1.3112942173738096
Learning Disability,Any antipsychotic,2020 Q3,347,286272,-6.71537290684566,0.05368281159533701,1.212133914598704,1.1487789096378367,1.278982939705586
Learning Disability,Any antipsychotic,2020 Q4,365,292352,-6.685816481113026,0.05234239127716216,1.2484949649737311,1.1848265666186104,1.3155846783662712
Learning Disability,Any antipsychotic,2021 Q1,382,298598,-6.661432857534576,0.05116445013341107,1.279311984675049,1.2155029859281692,1.3464706982052044
Learning Disability,Any antipsychotic,2021 Q2,348,307097,-6.782716457801773,0.05360562563571046,1.133192444081188,1.0740463972200314,1.1955955707746098
Learning Disability,Any antipsychotic,2021 Q3,392,311980,-6.679432522382397,0.0505076264061681,1.256490800692352,1.1946044545253702,1.3215831618941773
Learning Disability,Any antipsychotic,2021 Q4,393,316497,-6.691259429979198,0.05044332641430419,1.2417179309756494,1.180635110107058,1.3059610093813274
Serious Mental Illness,Any antipsychotic,2019 Q1,2372,471673,-5.292552467745439,0.020532539049706738,5.028907739048019,4.926704332827974,5.133231332626046
Serious Mental Illness,Any antipsychotic,2019 Q2,2445,478263,-5.276115667460056,0.020223697848518185,5.112249954522928,5.009899793871851,5.216691086214606
Serious Mental Illness,Any antipsychotic,2019 Q3,2490,486093,-5.274117253141957,0.020040120393324912,5.122476563126813,5.020843288973331,5.226167125632202
Serious Mental Illness,Any antipsychotic,2019 Q4,2622,494497,-5.239603698968781,0.019529164164511403,5.302357749389784,5.199811712768541,5.406926107242563
Serious Mental Illness,Any antipsychotic,2020 Q1,2650,501440,-5.242924319169526,0.019425717240230105,5.2847798340778525,5.183109898204921,5.388444089203784
Serious Mental Illness,Any antipsychotic,2020 Q2,2527,506018,-5.29953941337123,0.019892866992698037,4.993893497859758,4.895532226233922,5.094231048939747
Serious Mental Illness,Any antipsychotic,2020 Q3,2493,510672,-5.3222407009007,0.020028058929481146,4.881802801015128,4.785002364972664,4.980561506605504
Serious Mental Illness,Any antipsychotic,2020 Q4,2590,518657,-5.299584902652966,0.019649437289973835,4.993666334398264,4.896501345854548,5.092759441476389
Serious Mental Illness,Any antipsychotic,2021 Q1,2585,525057,-5.313781320166351,0.01966843143385839,4.923274996809874,4.827387964976441,5.021066645164817
Serious Mental Illness,Any antipsychotic,2021 Q2,2565,532435,-5.335502345782519,0.019744962584467368,4.817489458807185,4.723301241135061,4.913555901029333
Serious Mental Illness,Any antipsychotic,2021 Q3,2550,540048,-5.355564665326491,0.019802950851920298,4.721802506443872,4.629216645762561,4.816240114894634
Serious Mental Illness,Any antipsychotic,2021 Q4,2658,546850,-5.3266005814901805,0.019396461625417007,4.86056505440249,4.7671957353406205,4.9557630858198145
